Stfartro_Id;Ημερομηνία;Παραστατικό;Αριθμός;Κωδικός Είδους;Περιγραφή είδους
140.383.608,00;7/2/2019;62Π;8,00;012.01.03.006;ΖΙΡΑΦΙΝ 76 WG 1 ΚΙΛΟΥ
140.383.608,00;7/2/2019;62Π;8,00;003.01.05.009;ΣΑΝ ΟΙΛ 7Ε 99,1EC 1 ΛΙΤΡΟΥ
140.383.608,00;7/2/2019;62Π;8,00;066.01.02.013;ΝΤΕΛΤΑΘΡΙΝ 2,5 EC 1 ΛΙΤΡΟΥ
140.383.609,00;7/2/2019;62Π;9,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
148.383.581,00;7/2/2019;62Π_Α;5,00;066.01.03.008;ΚΟΥΠΡΟΞΑΤ 19SC 1 ΛΙΤΡΟΥ
140.383.610,00;8/2/2019;41Π_ΕΣ;1,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.610,00;8/2/2019;41Π_ΕΣ;1,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
140.383.610,00;8/2/2019;41Π_ΕΣ;1,00;008.04.52.009;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 25 ΚΙΛΩΝ
140.383.611,00;8/2/2019;41Π_ΕΣ;1,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.611,00;8/2/2019;41Π_ΕΣ;1,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
140.383.611,00;8/2/2019;41Π_ΕΣ;1,00;008.04.52.009;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 25 ΚΙΛΩΝ
140.383.610,00;8/2/2019;41Π_ΕΣ;1,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.611,00;8/2/2019;41Π_ΕΣ;1,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.612,00;8/2/2019;41Π_ΕΣ;2,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.613,00;8/2/2019;41Π_ΕΣ;2,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.615,00;8/2/2019;41Π_ΕΣ;3,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.616,00;8/2/2019;41Π_ΕΣ;3,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
148.383.583,00;8/2/2019;62Π_Α;6,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
148.383.583,00;8/2/2019;62Π_Α;6,00;029.05.57.003;ΛΙΠ.ΜΠΟΡΟ-Ν  ΚΡΥΣΤ.25 ΚΙΛΩΝ
148.383.584,00;8/2/2019;62Π_Α;7,00;012.01.01.002;ΝΤΕΒΡΙΝΟΛ 45SC 50 Κ.ΕΚ.
148.383.584,00;8/2/2019;62Π_Α;7,00;099.01.09.003;ΒΑΠΑΜ ΦΟΡΤΕ 51SL 10 ΛΙΤΡΩΝ
148.383.584,00;8/2/2019;62Π_Α;7,00;009.03.54.016;ΛΙΠ.ΑΓΡΟΠΟΝ.(12-18-0) 40 ΚΙΛΩΝ
144.383.576,00;8/2/2019;62Π_Β;1,00;008.04.52.009;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 25 ΚΙΛΩΝ
148.383.587,00;9/2/2019;41Π_ΕΣΑ;2,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
140.383.621,00;9/2/2019;41Π_ΕΣΑ;2,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
148.383.589,00;9/2/2019;41Π_ΕΣΑ;3,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.590,00;9/2/2019;41Π_ΕΣΑ;3,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.619,00;9/2/2019;62Π;10,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
140.383.619,00;9/2/2019;62Π;10,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.620,00;9/2/2019;62Π;11,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
148.383.585,00;9/2/2019;62Π_Α;8,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
148.383.585,00;9/2/2019;62Π_Α;8,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.588,00;9/2/2019;62Π_Α;9,00;008.04.52.006;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 25 ΚΙΛΩΝ
148.383.588,00;9/2/2019;62Π_Α;9,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.592,00;11/2/2019;41Π_ΕΣΒ;1,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.593,00;11/2/2019;41Π_ΕΣΒ;1,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.623,00;11/2/2019;62Π;12,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.624,00;11/2/2019;62Π;13,00;023.03.57.001;ΛΙΠ.ΒΟΡΑΚΑΣ Ν_ΒΟΡ 25 ΚΙΛΩΝ
140.383.626,00;11/2/2019;62Π;14,00;012.01.01.015;ΜΙΣΤΡΑΛ 70WG 500 γρ.
144.383.580,00;11/2/2019;62Π_Β;2,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.581,00;11/2/2019;62Π_Β;3,00;006.01.02.034;ΣΑΙΠΕΡΚΙΛ ΜΑΞ 50 EC 200 Κ.ΕΚ.
144.383.583,00;11/2/2019;62Π_Β;4,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
144.383.583,00;11/2/2019;62Π_Β;4,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
144.383.584,00;11/2/2019;62Π_Β;5,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
144.383.584,00;11/2/2019;62Π_Β;5,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
144.383.584,00;11/2/2019;62Π_Β;5,00;008.04.52.009;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 25 ΚΙΛΩΝ
144.383.585,00;11/2/2019;62Π_Β;6,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
144.383.585,00;11/2/2019;62Π_Β;6,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
144.383.588,00;11/2/2019;62Π_Β;7,00;006.01.01.024;ΜΕΤΑΓΚΡΙΖΙΝ 70WG 100 ΓΡ.
144.383.588,00;11/2/2019;62Π_Β;7,00;005.01.01.011;ΛΕΞΟΝ 70WG 500 ΓΡ.
144.383.589,00;11/2/2019;62Π_Β;8,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
144.383.589,00;11/2/2019;62Π_Β;8,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
144.383.590,00;11/2/2019;62Π_Β;9,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.590,00;11/2/2019;62Π_Β;9,00;066.01.01.004;ΚΛΙΝΙΚ 36SL 5 ΛΙΤΡΩΝ
144.383.591,00;11/2/2019;62Π_Β;10,00;008.04.51.026;ΕΝΤΕΚ (24-8-7) 40 ΚΙΛΩΝ
144.383.591,00;11/2/2019;62Π_Β;10,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
144.383.591,00;11/2/2019;62Π_Β;10,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.594,00;11/2/2019;62Π_Β;11,00;027.01.03.001;ΖΙΡΑΦΙΝ 76 WG 200 ΓΡ.
144.383.594,00;11/2/2019;62Π_Β;11,00;023.01.03.002;ΜΠΟΡΝΤΟ ΦΕΡΤ 20ΒΥ 1 ΚΙΛΟΥ
144.383.594,00;11/2/2019;62Π_Β;11,00;017.01.02.002;ΝΤΕΣΙΣ 2,5EC 100 Κ.ΕΚ.
144.383.594,00;11/2/2019;62Π_Β;11,00;066.01.01.014;ΚΛΙΝΙΚ 36SL 1 ΛΙΤΡΟΥ
144.383.594,00;11/2/2019;62Π_Β;11,00;015.01.03.003;ΣΚΑΜΠΙΑΛ 76WG 1 ΚΙΛΟΥ
144.383.594,00;11/2/2019;62Π_Β;11,00;002.01.03.026;ΚΟΥΜΟΥΛΟΥΣ 80WG 800ΓΡ.
144.383.595,00;11/2/2019;62Π_Β;12,00;006.01.02.034;ΣΑΙΠΕΡΚΙΛ ΜΑΞ 50 EC 200 Κ.ΕΚ.
144.383.582,00;11/2/2019;71Π_Β;1,00;002.01.06.001;ΣΤΟΡΜ (ΚΗΡΩΔΗ ΤΕΜ. 4 ΓΡ.) 112 ΓΡ.
140.383.628,00;12/2/2019;41Π_ΕΣ;4,00;012.01.01.015;ΜΙΣΤΡΑΛ 70WG 500 γρ.
140.383.629,00;12/2/2019;41Π_ΕΣ;4,00;012.01.01.015;ΜΙΣΤΡΑΛ 70WG 500 γρ.
140.383.628,00;12/2/2019;41Π_ΕΣ;4,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.629,00;12/2/2019;41Π_ΕΣ;4,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.628,00;12/2/2019;41Π_ΕΣ;4,00;009.03.53.013;ΛΙΠ.ΤΡ. ΥΠΕΡΦ.(0-46-0) 40ΚΙΛΩΝ
140.383.629,00;12/2/2019;41Π_ΕΣ;4,00;009.03.53.013;ΛΙΠ.ΤΡ. ΥΠΕΡΦ.(0-46-0) 40ΚΙΛΩΝ
140.383.631,00;12/2/2019;62Π;16,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.596,00;12/2/2019;62Π_Β;13,00;009.03.53.013;ΛΙΠ.ΤΡ. ΥΠΕΡΦ.(0-46-0) 40ΚΙΛΩΝ
144.383.597,00;13/2/2019;71Π_Β;2,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.598,00;13/2/2019;71Π_Β;3,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.600,00;14/2/2019;62Π_Β;14,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.601,00;14/2/2019;62Π_Β;15,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.599,00;14/2/2019;71Π_Β;4,00;008.04.52.009;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 25 ΚΙΛΩΝ
144.383.602,00;15/2/2019;62Π_Β;16,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
144.383.602,00;15/2/2019;62Π_Β;16,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
140.383.641,00;16/2/2019;41Π_ΕΣ;5,00;057.07.36.014;ΕΛΑΙΟΔΕΝΔΡΟ ΜΕΓΑΡΩΝ
140.383.642,00;16/2/2019;41Π_ΕΣ;5,00;057.07.36.014;ΕΛΑΙΟΔΕΝΔΡΟ ΜΕΓΑΡΩΝ
140.383.643,00;16/2/2019;41Π_ΕΣ;6,00;008.04.51.037;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 25ΚΙΛΩΝ
140.383.644,00;16/2/2019;41Π_ΕΣ;6,00;008.04.51.037;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 25ΚΙΛΩΝ
140.383.643,00;16/2/2019;41Π_ΕΣ;6,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.644,00;16/2/2019;41Π_ΕΣ;6,00;099.05.57.014;ΛΙΠ.ΒΟΡΑΚΑΣ ΚΡΥΣΤ. 25ΚΙΛΩΝ
140.383.643,00;16/2/2019;41Π_ΕΣ;6,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.644,00;16/2/2019;41Π_ΕΣ;6,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.643,00;16/2/2019;41Π_ΕΣ;6,00;009.03.53.013;ΛΙΠ.ΤΡ. ΥΠΕΡΦ.(0-46-0) 40ΚΙΛΩΝ
140.383.644,00;16/2/2019;41Π_ΕΣ;6,00;009.03.53.013;ΛΙΠ.ΤΡ. ΥΠΕΡΦ.(0-46-0) 40ΚΙΛΩΝ
144.383.605,00;16/2/2019;41Π_ΕΣΒ;2,00;003.02.23.004;ΣΙΤΟΣ ΣΚΛ. ΣΚΟΥΛΠΤΟΥΡ R2 25 ΚΙΛΩΝ
144.383.607,00;16/2/2019;41Π_ΕΣΒ;2,00;003.02.23.004;ΣΙΤΟΣ ΣΚΛ. ΣΚΟΥΛΠΤΟΥΡ R2 25 ΚΙΛΩΝ
144.383.605,00;16/2/2019;41Π_ΕΣΒ;2,00;078.02.23.005;ΣΙΤΟΣ ΣΚΛ. ΜΑΕΣΤΡΑΛΕ R2 40 ΚΙΛΩΝ
144.383.607,00;16/2/2019;41Π_ΕΣΒ;2,00;078.02.23.005;ΣΙΤΟΣ ΣΚΛ. ΜΑΕΣΤΡΑΛΕ R2 40 ΚΙΛΩΝ
144.383.605,00;16/2/2019;41Π_ΕΣΒ;2,00;009.03.53.013;ΛΙΠ.ΤΡ. ΥΠΕΡΦ.(0-46-0) 40ΚΙΛΩΝ
144.383.607,00;16/2/2019;41Π_ΕΣΒ;2,00;009.03.53.013;ΛΙΠ.ΤΡ. ΥΠΕΡΦ.(0-46-0) 40ΚΙΛΩΝ
140.383.645,00;16/2/2019;62Π;18,00;066.01.03.009;ΚΟΥΠΡΟΞΑΤ 19SC 5 ΛΙΤΡΩΝ
140.383.647,00;16/2/2019;62Π;20,00;057.07.36.013;ΕΛΑΙΟΔΕΝΔΡΟ ΚΟΡΩΝΕΪΚΗ
148.383.591,00;16/2/2019;62Π_Α;10,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
148.383.591,00;16/2/2019;62Π_Α;10,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.592,00;16/2/2019;62Π_Α;11,00;013.03.53.002;ΛΙΠ.ΠΑΤΕΝΤΚΑΛΙ(0-0-30+10MgΟ)25ΚΙΛΩΝ
148.383.592,00;16/2/2019;62Π_Α;11,00;008.04.52.006;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 25 ΚΙΛΩΝ
148.383.592,00;16/2/2019;62Π_Α;11,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.593,00;16/2/2019;62Π_Α;12,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.609,00;16/2/2019;62Π_Β;17,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.609,00;16/2/2019;62Π_Β;17,00;009.03.53.013;ΛΙΠ.ΤΡ. ΥΠΕΡΦ.(0-46-0) 40ΚΙΛΩΝ
144.383.610,00;16/2/2019;62Π_Β;18,00;057.07.36.014;ΕΛΑΙΟΔΕΝΔΡΟ ΜΕΓΑΡΩΝ
144.383.613,00;17/2/2019;62Π_Β;20,00;008.04.51.037;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 25ΚΙΛΩΝ
144.383.614,00;17/2/2019;62Π_Β;21,00;008.04.51.037;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 25ΚΙΛΩΝ
148.383.599,00;18/2/2019;41Π_ΕΣΑ;4,00;008.04.51.037;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 25ΚΙΛΩΝ
148.383.600,00;18/2/2019;41Π_ΕΣΑ;4,00;008.04.51.037;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 25ΚΙΛΩΝ
148.383.599,00;18/2/2019;41Π_ΕΣΑ;4,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.600,00;18/2/2019;41Π_ΕΣΑ;4,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.617,00;18/2/2019;41Π_ΕΣΒ;3,00;003.02.23.004;ΣΙΤΟΣ ΣΚΛ. ΣΚΟΥΛΠΤΟΥΡ R2 25 ΚΙΛΩΝ
144.383.618,00;18/2/2019;41Π_ΕΣΒ;3,00;003.02.23.004;ΣΙΤΟΣ ΣΚΛ. ΣΚΟΥΛΠΤΟΥΡ R2 25 ΚΙΛΩΝ
140.383.648,00;18/2/2019;62Π;21,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
140.383.649,00;18/2/2019;62Π;22,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
140.383.651,00;18/2/2019;62Π;23,00;008.04.51.037;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 25ΚΙΛΩΝ
140.383.651,00;18/2/2019;62Π;23,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
140.383.652,00;18/2/2019;62Π;24,00;066.01.03.005;ΚΟΥΠΡΟΞΑΤ 19SC 3 ΛΙΤΡΩΝ
148.383.595,00;18/2/2019;62Π_Α;13,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
148.383.596,00;18/2/2019;62Π_Α;14,00;008.04.52.010;ΝΙΤΡΟΦΟΣΚΑ (15-15-15+5S) 40ΚΙΛΩΝ
148.383.597,00;18/2/2019;62Π_Α;15,00;008.04.52.001;ΝΙΤΡΟΦΟΣΚΑ (12-12-17+2) 40 ΚΙΛΩΝ
148.383.598,00;18/2/2019;62Π_Α;16,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.601,00;18/2/2019;62Π_Α;17,00;003.01.03.013;ΚΟΣΑΙΤ 2000 35WG 1,5 ΚΙΛΩΝ
148.383.602,00;18/2/2019;62Π_Α;18,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
148.383.603,00;18/2/2019;62Π_Α;19,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.615,00;18/2/2019;62Π_Β;22,00;008.04.51.037;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 25ΚΙΛΩΝ
144.383.615,00;18/2/2019;62Π_Β;22,00;015.01.03.003;ΣΚΑΜΠΙΑΛ 76WG 1 ΚΙΛΟΥ
144.383.615,00;18/2/2019;62Π_Β;22,00;008.04.51.036;ΕΝΤΕΚ (20-8-10+0,3Β+2Mg) 40ΚΙΛΩΝ
144.383.616,00;18/2/2019;62Π_Β;23,00;002.01.06.001;ΣΤΟΡΜ (ΚΗΡΩΔΗ ΤΕΜ. 4 ΓΡ.) 112 ΓΡ.
