Stfartro_Id;Παραστατικό;Αριθμός;Κωδικός Είδους;Αξία έκπτωσης εξαγωγών
9.646,00;1ΤΔΑ;4,00;ΧΠ.ΜΑΚΙ.001;0,00
9.646,00;1ΤΔΑ;4,00;ΣΤ.ΚΟΛΩ.068;1,67
9.646,00;1ΤΔΑ;4,00;ΣΤ.ΚΟΛΩ.047;0,72
9.646,00;1ΤΔΑ;4,00;ZX.ΒΑΦΕ.004;0,00
9.646,00;1ΤΔΑ;4,00;ΤΣ.ΚΟΛΩ.014;0,99
9.646,00;1ΤΔΑ;4,00;ΣΤ.ΔΙΑΦ.031;1,41
9.646,00;1ΤΔΑ;4,00;ΤΣ.ΚΟΛΩ.664;0,00
9.646,00;1ΤΔΑ;4,00;XO.ΑΦΞΥ.055;1,02
9.647,00;1ΤΔΑ;5,00;ΧΠ.ΜΑΚΙ.001;0,00
9.647,00;1ΤΔΑ;5,00;ΧΠ.ΜΑΚΙ.003;0,00
9.647,00;1ΤΔΑ;5,00;ΑΝ.ΑΦΡΟ.031;0,00
9.647,00;1ΤΔΑ;5,00;ΣΤ.ΜΑΣΚ.018;0,00
9.647,00;1ΤΔΑ;5,00;ΒΛ.ΑΔΥΝ.004;0,00
9.647,00;1ΤΔΑ;5,00;ΣΤ.ΜΑΣΚ.001;0,00
9.648,00;1ΤΔΑ;6,00;ZX.ΑΦΡΛ.027;0,00
9.648,00;1ΤΔΑ;6,00;ΣΤ.ΜΑΣΚ.001;0,00
9.648,00;1ΤΔΑ;6,00;ΒΛ.ΑΔΥΝ.004;0,00
9.648,00;1ΤΔΑ;6,00;ΣΤ.ΜΑΣΚ.018;0,00
9.648,00;1ΤΔΑ;6,00;ZX.ΜΑΣΚ.004;0,00
9.648,00;1ΤΔΑ;6,00;ΑΝ.ΑΦΡΟ.031;0,00
9.648,00;1ΤΔΑ;6,00;ΧΠ.ΜΑΚΙ.001;0,00
9.648,00;1ΤΔΑ;6,00;WS.ΑΠΟΤ.011;0,00
9.648,00;1ΤΔΑ;6,00;ΧΠ.ΒΑΦΕ.001;0,00
9.649,00;1ΤΔΑ;7,00;ΣΜ.ΜΑΚΙ.001;0,00
9.650,00;1ΤΔΑ;8,00;ΚΑ.ΔΙΑΦ.034;4,68
9.651,00;1ΤΔΑ;9,00;XO.ΑΦΞΥ.028;0,00
9.651,00;1ΤΔΑ;9,00;ΚΑ.ΑΦΡΟ.004;0,00
9.652,00;1ΤΔΑ;10,00;ΧΠ.ΜΑΚΙ.003;0,00
9.652,00;1ΤΔΑ;10,00;ΧΠ.ΜΑΚΙ.001;0,00
9.652,00;1ΤΔΑ;10,00;ΣΜ.ΜΑΚΙ.001;0,00
9.652,00;1ΤΔΑ;10,00;WS.ΑΠΟΤ.011;0,00
9.652,00;1ΤΔΑ;10,00;ΧΠ.ΒΑΦΕ.001;0,00
9.652,00;1ΤΔΑ;10,00;ZX.ΑΦΡΛ.027;0,00
9.652,00;1ΤΔΑ;10,00;ΣΤ.ΜΑΣΚ.026;0,00
9.652,00;1ΤΔΑ;10,00;ZX.ΑΦΡΛ.005;0,00
9.652,00;1ΤΔΑ;10,00;ΣΤ.ΜΑΣΚ.001;0,00
9.652,00;1ΤΔΑ;10,00;ΒΛ.ΑΔΥΝ.004;0,00
9.652,00;1ΤΔΑ;10,00;ΣΤ.ΜΑΣΚ.018;0,00
9.652,00;1ΤΔΑ;10,00;ΑΝ.ΑΦΡΟ.062;0,00
9.653,00;1ΤΔΑ;11,00;ΚΑ.ΑΔΥΝ.004;0,00
9.653,00;1ΤΔΑ;11,00;ΚΑ.ΟΔΟΝ.003;0,00
9.653,00;1ΤΔΑ;11,00;ΚΑ.ΑΠΟΣ.027;0,00
9.653,00;1ΤΔΑ;11,00;ΚΑ.ΑΠΟΣ.006;0,00
9.653,00;1ΤΔΑ;11,00;ΣΜ.ΜΑΚΙ.001;0,00
9.653,00;1ΤΔΑ;11,00;ΣΤ.ΜΑΣΚ.027;0,00
9.653,00;1ΤΔΑ;11,00;ΧΠ.ΜΑΣΚ.008;0,00
9.653,00;1ΤΔΑ;11,00;ΣΤ.ΜΑΣΚ.018;0,00
9.653,00;1ΤΔΑ;11,00;ΣΤ.ΜΑΣΚ.023;0,00
9.653,00;1ΤΔΑ;11,00;ZX.ΑΦΡΛ.027;0,00
9.653,00;1ΤΔΑ;11,00;ΑΝ.ΑΦΡΟ.031;0,00
9.654,00;1ΤΔΑ;12,00;ΧΠ.ΜΑΚΙ.003;0,00
9.654,00;1ΤΔΑ;12,00;ΧΠ.ΜΑΚΙ.001;0,00
9.654,00;1ΤΔΑ;12,00;ZX.ΑΦΡΛ.027;0,00
9.655,00;1ΤΔΑ;13,00;ΣΤ.ΚΟΛΩ.064;0,00
9.655,00;1ΤΔΑ;13,00;ΣΤ.ΚΟΛΩ.051;0,00
9.655,00;1ΤΔΑ;13,00;ΤΣ.ΜΑΣΚ.003;0,00
9.655,00;1ΤΔΑ;13,00;ΤΣ.ΚΟΛΩ.213;0,00
9.655,00;1ΤΔΑ;13,00;ΤΣ.ΚΟΛΩ.392;0,00
9.655,00;1ΤΔΑ;13,00;ΣΤ.ΚΟΛΩ.185;0,00
9.655,00;1ΤΔΑ;13,00;ΣΤ.ΜΑΣΚ.001;0,00
9.656,00;1ΤΔΑ;14,00;DS.ΑΔΥΝ.014;0,00
9.656,00;1ΤΔΑ;14,00;ΧΠ.ΜΑΚΙ.001;0,00
9.656,00;1ΤΔΑ;14,00;ΣΤ.ΚΡΕΜ.040;0,00
9.656,00;1ΤΔΑ;14,00;ΣΤ.ΚΡΕΜ.051;0,00
9.656,00;1ΤΔΑ;14,00;ΤΣ.ΚΟΛΩ.120;1,13
9.657,00;1ΤΔΑ;15,00;XO.ΑΦΞΥ.028;2,37
9.657,00;1ΤΔΑ;15,00;ΧΠ.ΜΑΚΙ.003;0,00
9.657,00;1ΤΔΑ;15,00;ΧΠ.ΜΑΚΙ.001;0,00
9.657,00;1ΤΔΑ;15,00;ΣΤ.ΜΑΣΚ.018;0,00
9.657,00;1ΤΔΑ;15,00;ΣΤ.ΜΑΣΚ.023;0,00
9.657,00;1ΤΔΑ;15,00;ZX.ΜΑΣΚ.004;0,00
9.657,00;1ΤΔΑ;15,00;ΣΤ.ΜΑΣΚ.001;0,00
9.658,00;1ΤΔΑ;16,00;ΧΠ.ΜΑΚΙ.003;0,00
9.659,00;1ΤΔΑ;17,00;WS.ΔΙΑΦ.003;0,00
9.659,00;1ΤΔΑ;17,00;ZX.ΑΔΥΝ.010;0,00
9.659,00;1ΤΔΑ;17,00;ΣΤ.ΜΑΚΙ.001;0,69
9.659,00;1ΤΔΑ;17,00;ΧΠ.ΑΦΡΟ.001;0,00
9.659,00;1ΤΔΑ;17,00;ΚΑ.ΣΑΜΠ.018;0,00
9.659,00;1ΤΔΑ;17,00;KM.ΑΠΟΣ.039;0,00
9.659,00;1ΤΔΑ;17,00;ΚΑ.ΑΦΞΥ.017;0,00
9.659,00;1ΤΔΑ;17,00;ΣΤ.ΖΕΛΕ.002;0,00
9.659,00;1ΤΔΑ;17,00;ΚΑ.ΣΑΜΠ.014;0,97
9.659,00;1ΤΔΑ;17,00;ΚΑ.ΔΙΑΦ.030;0,00
9.659,00;1ΤΔΑ;17,00;WS.ΑΦΡΟ.002;0,00
9.659,00;1ΤΔΑ;17,00;ΚΑ.ΛΑΚΚ.030;0,00
9.659,00;1ΤΔΑ;17,00;ΚΑ.ΣΑΜΠ.001;0,54
9.659,00;1ΤΔΑ;17,00;ΤΣ.ΚΟΛΩ.163;0,00
9.659,00;1ΤΔΑ;17,00;WS.ΑΠΟΤ.088;0,00
9.660,00;1ΤΔΑ;18,00;WS.ΑΠΟΤ.011;0,00
9.661,00;1ΤΔΑ;19,00;ΑΝ.ΑΔΥΝ.017;0,00
9.661,00;1ΤΔΑ;19,00;XO.ΑΦΡΛ.001;0,00
9.661,00;1ΤΔΑ;19,00;KM.ΑΔΥΝ.006;0,00
9.661,00;1ΤΔΑ;19,00;ΒΛ.ΒΑΦΕ.036;0,00
9.661,00;1ΤΔΑ;19,00;DS.ΑΔΥΝ.013;0,00
9.661,00;1ΤΔΑ;19,00;DS.ΑΔΥΝ.014;0,00
9.662,00;1ΤΔΑ;20,00;ΣΤ.ΜΑΣΚ.019;0,00
9.663,00;1ΤΔΑ;21,00;XO.ΑΦΞΥ.028;0,00
9.664,00;1ΤΔΑ;22,00;ΣΜ.ΔΙΑΦ.006;0,00
9.664,00;1ΤΔΑ;22,00;ΚΑ.ΚΡΕΜ.011;0,00
9.666,00;1ΤΔΑ;23,00;ZX.ΔΙΑΦ.006;0,00
9.666,00;1ΤΔΑ;23,00;ΚΑ.ΣΑΜΠ.034;0,00
9.666,00;1ΤΔΑ;23,00;ΚΑ.ΛΑΚΚ.015;0,00
9.666,00;1ΤΔΑ;23,00;KM.ΑΔΥΝ.012;0,00
9.666,00;1ΤΔΑ;23,00;WS.ΑΔΥΝ.002;0,00
9.667,00;1ΤΔΑ;24,00;ΚΑ.ΔΙΑΦ.034;6,24
9.667,00;1ΤΔΑ;24,00;ΚΑ.ΚΡΕΜ.015;4,32
9.668,00;1ΤΔΑ;25,00;ΚΑ.ΚΡΕΜ.021;0,00
9.668,00;1ΤΔΑ;25,00;ΧΠ.ΜΑΚΙ.001;0,00
9.668,00;1ΤΔΑ;25,00;ΧΠ.ΜΑΚΙ.003;0,00
9.668,00;1ΤΔΑ;25,00;ΑΝ.ΑΔΥΝ.017;1,73
9.668,00;1ΤΔΑ;25,00;ΚΑ.ΚΟΛΩ.065;0,00
9.668,00;1ΤΔΑ;25,00;ΣΤ.ΜΑΣΚ.001;0,00
9.668,00;1ΤΔΑ;25,00;ZX.ΑΦΡΛ.027;1,79
9.668,00;1ΤΔΑ;25,00;XO.ΑΔΥΝ.011;3,13
9.668,00;1ΤΔΑ;25,00;ΣΤ.ΜΑΣΚ.027;1,79
9.668,00;1ΤΔΑ;25,00;ΑΝ.ΑΦΡΟ.031;1,79
9.669,00;1ΤΔΑ;26,00;ΧΠ.ΜΑΚΙ.003;0,00
9.669,00;1ΤΔΑ;26,00;ΣΤ.ΜΑΚΙ.010;0,00
9.669,00;1ΤΔΑ;26,00;ΣΤ.ΜΑΣΚ.023;0,00
9.669,00;1ΤΔΑ;26,00;ΒΛ.ΒΑΦΕ.032;0,00
9.669,00;1ΤΔΑ;26,00;ΡΝ.ΔΙΑΦ.017;0,00
9.669,00;1ΤΔΑ;26,00;ΛΗ.ΚΡΕΜ.015;1,60
9.669,00;1ΤΔΑ;26,00;ΝΤ.ΜΑΚΙ.002;1,17
9.669,00;1ΤΔΑ;26,00;ΛΗ.ΜΑΚΙ.007;1,50
9.669,00;1ΤΔΑ;26,00;WS.ΑΠΟΤ.090;0,00
9.670,00;1ΤΔΑ;27,00;ΣΤ.ΚΡΕΜ.034;1,67
9.671,00;1ΤΔΑ;28,00;ΧΠ.ΜΑΣΚ.008;0,00
9.671,00;1ΤΔΑ;28,00;ZX.ΑΦΡΛ.027;0,00
9.671,00;1ΤΔΑ;28,00;ΣΤ.ΚΟΛΩ.332;0,00
9.671,00;1ΤΔΑ;28,00;XO.ΑΔΥΝ.011;0,00
9.671,00;1ΤΔΑ;28,00;ΣΤ.ΜΑΣΚ.023;0,00
9.671,00;1ΤΔΑ;28,00;WS.ΑΠΟΤ.011;0,00
9.671,00;1ΤΔΑ;28,00;ΧΠ.ΒΑΦΕ.001;0,00
9.671,00;1ΤΔΑ;28,00;ΧΠ.ΜΑΚΙ.001;0,00
9.671,00;1ΤΔΑ;28,00;ΧΠ.ΜΑΚΙ.003;0,00
9.675,00;1ΤΔΑ;29,00;ΧΠ.ΚΟΛΩ.146;0,00
9.676,00;1ΤΔΑ;30,00;ΣΤ.ΜΑΣΚ.001;0,00
9.676,00;1ΤΔΑ;30,00;ΧΠ.ΔΙΑΦ.013;0,00
9.676,00;1ΤΔΑ;30,00;ΤΣ.ΚΟΛΩ.039;0,00
9.677,00;1ΤΔΑ;31,00;KM.ΑΠΟΣ.034;0,00
9.677,00;1ΤΔΑ;31,00;ΤΣ.ΚΟΛΩ.101;0,00
9.677,00;1ΤΔΑ;31,00;ΤΣ.ΚΟΛΩ.292;0,00
9.678,00;1ΤΔΑ;32,00;ΧΠ.ΜΑΚΙ.003;1,49
9.678,00;1ΤΔΑ;32,00;KM.ΜΑΚΙ.017;5,93
9.678,00;1ΤΔΑ;32,00;ΣΤ.ΜΑΚΙ.012;1,28
9.678,00;1ΤΔΑ;32,00;ΣΤ.ΜΑΚΙ.001;0,69
9.678,00;1ΤΔΑ;32,00;ΣΤ.ΜΑΚΙ.010;6,07
9.678,00;1ΤΔΑ;32,00;ΣΤ.ΜΑΣΚ.012;6,32
9.678,00;1ΤΔΑ;32,00;ZX.ΑΦΡΛ.027;2,50
9.678,00;1ΤΔΑ;32,00;ΣΤ.ΜΑΣΚ.019;15,05
9.679,00;1ΤΔΑ;33,00;ΣΤ.ΜΑΣΚ.001;0,00
9.679,00;1ΤΔΑ;33,00;ΣΤ.ΜΑΣΚ.020;0,00
9.679,00;1ΤΔΑ;33,00;XO.ΑΦΡΛ.001;0,00
9.679,00;1ΤΔΑ;33,00;ΣΤ.ΚΟΛΩ.332;0,00
9.679,00;1ΤΔΑ;33,00;ΧΠ.ΜΑΚΙ.003;0,00
9.679,00;1ΤΔΑ;33,00;KM.ΑΠΟΣ.040;0,00
9.679,00;1ΤΔΑ;33,00;KM.ΑΠΟΣ.040;23,85
9.679,00;1ΤΔΑ;33,00;ΣΤ.ΜΑΚΙ.012;0,00
9.679,00;1ΤΔΑ;33,00;ΤΣ.ΔΙΑΦ.011;0,00
9.679,00;1ΤΔΑ;33,00;ΣΤ.ΜΑΚΙ.003;0,00
9.679,00;1ΤΔΑ;33,00;ΧΠ.ΜΑΚΙ.001;0,00
9.679,00;1ΤΔΑ;33,00;ΣΤ.ΜΑΣΚ.010;0,00
9.679,00;1ΤΔΑ;33,00;ΒΛ.ΒΑΦΕ.036;0,00
9.679,00;1ΤΔΑ;33,00;ΒΛ.ΒΑΦΕ.036;21,60
9.679,00;1ΤΔΑ;33,00;ΝΤ.ΜΑΚΙ.002;4,23
9.680,00;1ΤΔΑ;34,00;ΧΠ.ΜΑΚΙ.001;0,00
9.680,00;1ΤΔΑ;34,00;DS.ΑΔΥΝ.002;0,00
9.680,00;1ΤΔΑ;34,00;XO.ΑΦΡΛ.001;0,00
9.680,00;1ΤΔΑ;34,00;ΣΤ.ΚΡΕΜ.034;0,00
9.680,00;1ΤΔΑ;34,00;ΣΤ.ΚΡΕΜ.043;0,00
9.680,00;1ΤΔΑ;34,00;ΣΤ.ΚΡΕΜ.049;0,00
9.680,00;1ΤΔΑ;34,00;WS.ΑΠΟΤ.087;0,00
9.680,00;1ΤΔΑ;34,00;ΚΑ.ΒΑΦΕ.012;0,00
9.681,00;1ΤΔΑ;35,00;WS.ΑΠΟΤ.061;0,00
9.682,00;1ΤΔΑ;36,00;WS.ΑΠΟΤ.061;0,00
9.683,00;1ΤΔΑ;37,00;ΚΑ.ΒΑΦΕ.013;0,00
9.683,00;1ΤΔΑ;37,00;XO.ΔΙΑΦ.002;0,00
9.685,00;1ΤΔΑ;38,00;ΑΝ.ΑΔΥΝ.017;0,00
9.685,00;1ΤΔΑ;38,00;ΧΠ.ΜΑΚΙ.001;0,00
9.685,00;1ΤΔΑ;38,00;ΤΣ.ΜΑΣΚ.003;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.024;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΚΟΛΩ.064;0,00
9.685,00;1ΤΔΑ;38,00;ZX.ΜΑΣΚ.004;0,00
9.685,00;1ΤΔΑ;38,00;ZX.ΑΦΡΛ.027;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.001;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.003;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.018;0,00
9.685,00;1ΤΔΑ;38,00;KM.ΜΑΚΙ.017;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.012;0,00
9.685,00;1ΤΔΑ;38,00;ΧΠ.ΜΑΚΙ.003;0,00
9.685,00;1ΤΔΑ;38,00;ΧΠ.ΜΑΚΙ.003;5,94
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.016;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.022;0,00
9.685,00;1ΤΔΑ;38,00;XO.ΑΔΥΝ.011;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.025;0,00
9.685,00;1ΤΔΑ;38,00;ΒΛ.ΑΔΥΝ.004;0,00
9.685,00;1ΤΔΑ;38,00;ΣΤ.ΜΑΣΚ.027;0,00
9.686,00;1ΤΔΑ;39,00;ΧΠ.ΜΑΚΙ.001;0,00
9.686,00;1ΤΔΑ;39,00;ΧΠ.ΜΑΚΙ.003;0,00
9.686,00;1ΤΔΑ;39,00;ΣΜ.ΜΑΚΙ.001;0,00
9.686,00;1ΤΔΑ;39,00;ZX.ΜΑΣΚ.004;0,00
9.686,00;1ΤΔΑ;39,00;ΣΤ.ΜΑΣΚ.023;0,00
9.687,00;1ΤΔΑ;40,00;DS.ΑΔΥΝ.013;0,00
9.687,00;1ΤΔΑ;40,00;DS.ΑΔΥΝ.014;0,00
9.687,00;1ΤΔΑ;40,00;ΑΝ.ΑΔΥΝ.020;0,00
9.687,00;1ΤΔΑ;40,00;WS.ΑΠΟΤ.050;14,00
9.687,00;1ΤΔΑ;40,00;WS.ΑΠΟΤ.078;53,10
9.687,00;1ΤΔΑ;40,00;ΒΛ.ΒΑΦΕ.032;0,00
9.687,00;1ΤΔΑ;40,00;ZX.ΜΑΣΚ.004;23,80
9.687,00;1ΤΔΑ;40,00;ΒΛ.ΒΑΦΕ.036;0,00
9.687,00;1ΤΔΑ;40,00;ΒΛ.ΒΑΦΕ.036;21,60
9.687,00;1ΤΔΑ;40,00;ΝΤ.ΜΑΚΙ.002;0,00
9.690,00;1ΤΔΑ;41,00;ΑΝ.ΑΔΥΝ.020;0,00
9.690,00;1ΤΔΑ;41,00;DS.ΑΔΥΝ.014;0,00
9.691,00;1ΤΔΑ;42,00;DS.ΑΔΥΝ.013;0,00
9.691,00;1ΤΔΑ;42,00;DS.ΑΔΥΝ.014;0,00
9.691,00;1ΤΔΑ;42,00;ΑΝ.ΑΔΥΝ.020;0,00
9.691,00;1ΤΔΑ;42,00;WS.ΑΠΟΤ.078;53,10
9.691,00;1ΤΔΑ;42,00;WS.ΑΠΟΤ.050;14,00
9.692,00;1ΤΔΑ;43,00;ΒΛ.ΒΑΦΕ.036;0,00
9.692,00;1ΤΔΑ;43,00;ΒΛ.ΒΑΦΕ.036;21,60
9.692,00;1ΤΔΑ;43,00;ΒΛ.ΒΑΦΕ.032;0,00
9.692,00;1ΤΔΑ;43,00;WS.ΑΠΟΤ.050;14,00
9.692,00;1ΤΔΑ;43,00;ΝΤ.ΜΑΚΙ.002;0,00
9.692,00;1ΤΔΑ;43,00;ZX.ΜΑΣΚ.004;23,80
9.693,00;1ΤΔΑ;44,00;ΑΝ.ΑΦΡΟ.029;0,00
9.693,00;1ΤΔΑ;44,00;ΝΤ.ΜΑΚΙ.002;0,00
9.693,00;1ΤΔΑ;44,00;ΚΑ.ΑΔΥΝ.026;0,00
9.693,00;1ΤΔΑ;44,00;KM.ΑΠΟΣ.031;0,00
9.694,00;1ΤΔΑ;45,00;ΒΛ.ΒΑΦΕ.036;0,00
9.694,00;1ΤΔΑ;45,00;ΒΛ.ΒΑΦΕ.036;7,20
9.694,00;1ΤΔΑ;45,00;ΚΑ.ΒΑΦΕ.012;0,00
9.694,00;1ΤΔΑ;45,00;ΚΑ.ΑΔΥΝ.014;0,00
9.694,00;1ΤΔΑ;45,00;KM.ΑΠΟΣ.037;0,00
9.694,00;1ΤΔΑ;45,00;ΣΤ.ΜΑΣΚ.017;0,00
9.694,00;1ΤΔΑ;45,00;ΒΛ.ΑΔΥΝ.006;0,00
9.694,00;1ΤΔΑ;45,00;ΤΣ.ΚΟΛΩ.205;3,10
9.694,00;1ΤΔΑ;45,00;ΣΤ.ΚΟΛΩ.217;3,80
9.694,00;1ΤΔΑ;45,00;ΤΣ.ΚΟΛΩ.504;2,70
9.694,00;1ΤΔΑ;45,00;ZX.ΑΦΡΛ.022;0,00
9.694,00;1ΤΔΑ;45,00;ΤΣ.ΚΟΛΩ.668;0,00
9.694,00;1ΤΔΑ;45,00;ΡΝ.ΚΟΛΩ.019;0,00
9.694,00;1ΤΔΑ;45,00;ΣΤ.ΜΑΣΚ.012;0,00
9.694,00;1ΤΔΑ;45,00;ΧΠ.ΜΑΣΚ.008;0,00
9.694,00;1ΤΔΑ;45,00;XO.ΑΔΥΝ.011;0,00
9.694,00;1ΤΔΑ;45,00;ΤΣ.ΚΟΛΩ.202;3,54
9.695,00;1ΤΔΑ;46,00;ΣΤ.ΜΑΣΚ.018;0,00
9.696,00;1ΤΔΑ;47,00;ΧΠ.ΜΑΚΙ.001;0,00
9.696,00;1ΤΔΑ;47,00;XO.ΑΦΞΥ.048;3,14
9.696,00;1ΤΔΑ;47,00;XO.ΑΦΡΛ.001;0,00
9.697,00;1ΤΔΑ;48,00;ΛΗ.ΚΡΕΜ.017;2,34
9.697,00;1ΤΔΑ;48,00;ΣΤ.ΜΑΚΙ.009;3,07
9.697,00;1ΤΔΑ;48,00;WS.ΑΠΟΤ.057;0,00
9.698,00;1ΤΔΑ;49,00;DS.ΔΙΑΦ.003;2,69
9.698,00;1ΤΔΑ;49,00;ΤΣ.ΔΙΑΦ.002;0,94
9.699,00;1ΤΔΑ;50,00;ΣΤ.ΔΙΑΦ.038;0,00
9.699,00;1ΤΔΑ;50,00;ΚΑ.ΑΔΥΝ.014;0,00
9.699,00;1ΤΔΑ;50,00;ΚΑ.ΔΙΑΦ.023;0,00
9.699,00;1ΤΔΑ;50,00;ΣΜ.ΔΙΑΦ.011;0,00
9.700,00;1ΤΔΑ;51,00;WS.ΑΠΟΤ.079;0,00
9.700,00;1ΤΔΑ;51,00;ΧΠ.ΚΟΛΩ.088;0,00
9.700,00;1ΤΔΑ;51,00;ΧΠ.ΚΟΛΩ.088;0,00
9.700,00;1ΤΔΑ;51,00;ΧΠ.ΑΔΥΝ.012;0,00
9.700,00;1ΤΔΑ;51,00;ΧΠ.ΑΔΥΝ.012;0,00
9.700,00;1ΤΔΑ;51,00;ΚΑ.ΚΟΛΩ.059;0,00
9.700,00;1ΤΔΑ;51,00;ΚΑ.ΑΔΥΝ.027;0,00
9.700,00;1ΤΔΑ;51,00;ΣΤ.ΑΦΡΛ.003;0,00
9.700,00;1ΤΔΑ;51,00;ΑΝ.ΑΦΡΟ.010;0,00
9.701,00;1ΤΔΑ;52,00;ΝΤ.ΜΑΚΙ.002;0,00
9.701,00;1ΤΔΑ;52,00;ΚΑ.ΜΑΚΙ.001;0,00
9.701,00;1ΤΔΑ;52,00;ΚΑ.ΚΟΛΩ.064;0,00
9.701,00;1ΤΔΑ;52,00;ΒΛ.ΒΑΦΕ.032;0,00
9.702,00;1ΤΔΑ;53,00;ΧΠ.ΜΑΚΙ.001;0,00
9.702,00;1ΤΔΑ;53,00;KM.ΑΔΥΝ.005;0,00
9.702,00;1ΤΔΑ;53,00;KM.ΑΔΥΝ.004;0,00
9.703,00;1ΤΔΑ;54,00;ΧΠ.ΜΑΚΙ.001;0,00
9.704,00;1ΤΔΑ;55,00;ΒΛ.ΒΑΦΕ.032;0,00
9.704,00;1ΤΔΑ;55,00;ΒΛ.ΒΑΦΕ.032;0,00
9.704,00;1ΤΔΑ;55,00;ΧΠ.ΜΑΚΙ.001;0,00
9.706,00;1ΤΔΑ;56,00;ZX.ΑΦΡΛ.026;0,00
9.706,00;1ΤΔΑ;56,00;ΛΗ.ΜΑΚΙ.012;0,92
9.706,00;1ΤΔΑ;56,00;ΧΠ.ΔΙΑΦ.009;0,00
9.706,00;1ΤΔΑ;56,00;DS.ΑΔΥΝ.014;0,00
9.707,00;1ΤΔΑ;57,00;ΚΑ.ΚΡΕΜ.012;0,00
9.707,00;1ΤΔΑ;57,00;ΚΑ.ΚΡΕΜ.014;0,00
9.707,00;1ΤΔΑ;57,00;ΚΑ.ΚΡΕΜ.010;0,00
9.707,00;1ΤΔΑ;57,00;ZX.ΔΙΑΦ.007;0,00
9.708,00;1ΤΔΑ;58,00;ΤΣ.ΔΙΑΦ.011;1,10
9.708,00;1ΤΔΑ;58,00;KM.ΜΑΚΙ.017;4,45
9.708,00;1ΤΔΑ;58,00;KM.ΑΠΟΣ.015;0,50
9.708,00;1ΤΔΑ;58,00;ΣΜ.ΜΑΚΙ.001;1,56
9.708,00;1ΤΔΑ;58,00;ΧΠ.ΜΑΚΙ.001;0,00
9.708,00;1ΤΔΑ;58,00;ΣΤ.ΜΑΚΙ.015;5,02
9.708,00;1ΤΔΑ;58,00;ΣΤ.ΜΑΚΙ.001;1,73
9.708,00;1ΤΔΑ;58,00;ΣΤ.ΜΑΣΚ.012;2,37
