,Title,Model,Fuel,Engine,Transmission_type,Location,Price
60,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
61,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
62,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
63,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
64,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
65,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
66,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
67,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
68,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
69,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
70,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
71,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
72,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
73,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
74,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
75,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
76,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
77,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
78,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
79,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
80,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
81,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
82,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
83,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
84,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
85,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
86,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
87,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
88,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
89,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
90,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
91,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
92,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
93,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
94,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
95,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
96,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
97,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
98,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
99,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
100,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
101,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
102,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
103,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
104,Honda City  2012 1.3 i-VTEC for Sale,2012,Petrol,1300 cc,Manual,Islamabad,PKR 20.3 lacs
105,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
106,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
107,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
108,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
109,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
110,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
111,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
112,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
113,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
114,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
115,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
116,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
117,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
118,Honda City  2012 1.3 i-VTEC for Sale,2012,Petrol,1300 cc,Manual,Islamabad,PKR 20.3 lacs
119,Suzuki Alto  2008 VXR (CNG) for Sale,2008,Petrol,1000 cc,Manual,Lahore,PKR 8.5 lacs
120,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
121,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
122,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
123,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
124,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
125,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
126,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
127,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
128,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
129,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
130,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
131,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
132,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
133,Honda City  2012 1.3 i-VTEC for Sale,2012,Petrol,1300 cc,Manual,Islamabad,PKR 20.3 lacs
134,Suzuki Alto  2008 VXR (CNG) for Sale,2008,Petrol,1000 cc,Manual,Lahore,PKR 8.5 lacs
135,Toyota Vitz  1999 F 1.0 for Sale,1999,Petrol,1000 cc,Automatic,Peshawar,PKR 11.9 lacs
136,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
137,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
138,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
139,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
140,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
141,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
142,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
143,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
144,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
145,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
146,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
147,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
148,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
149,Honda City  2012 1.3 i-VTEC for Sale,2012,Petrol,1300 cc,Manual,Islamabad,PKR 20.3 lacs
150,Suzuki Alto  2008 VXR (CNG) for Sale,2008,Petrol,1000 cc,Manual,Lahore,PKR 8.5 lacs
151,Toyota Vitz  1999 F 1.0 for Sale,1999,Petrol,1000 cc,Automatic,Peshawar,PKR 11.9 lacs
152,KIA Stonic  2022 EX+ for Sale,2022,Petrol,1400 cc,Automatic,Faisalabad,PKR 46.3 lacs
153,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
154,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
155,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
156,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
157,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
158,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
159,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
160,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
161,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
162,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
163,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
164,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
165,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
166,Honda City  2012 1.3 i-VTEC for Sale,2012,Petrol,1300 cc,Manual,Islamabad,PKR 20.3 lacs
167,Suzuki Alto  2008 VXR (CNG) for Sale,2008,Petrol,1000 cc,Manual,Lahore,PKR 8.5 lacs
168,Toyota Vitz  1999 F 1.0 for Sale,1999,Petrol,1000 cc,Automatic,Peshawar,PKR 11.9 lacs
169,KIA Stonic  2022 EX+ for Sale,2022,Petrol,1400 cc,Automatic,Faisalabad,PKR 46.3 lacs
170,Honda Civic  2022 Oriel Prosmatec UG for Sale,2022,Petrol,1800 cc,Automatic,Faisalabad,PKR 52 lacs
171,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
172,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
173,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
174,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
175,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
176,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
177,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
178,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
179,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
180,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
181,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
182,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
183,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
184,Honda City  2012 1.3 i-VTEC for Sale,2012,Petrol,1300 cc,Manual,Islamabad,PKR 20.3 lacs
185,Suzuki Alto  2008 VXR (CNG) for Sale,2008,Petrol,1000 cc,Manual,Lahore,PKR 8.5 lacs
186,Toyota Vitz  1999 F 1.0 for Sale,1999,Petrol,1000 cc,Automatic,Peshawar,PKR 11.9 lacs
187,KIA Stonic  2022 EX+ for Sale,2022,Petrol,1400 cc,Automatic,Faisalabad,PKR 46.3 lacs
188,Honda Civic  2022 Oriel Prosmatec UG for Sale,2022,Petrol,1800 cc,Automatic,Faisalabad,PKR 52 lacs
189,Suzuki Wagon R  2017 FX Limited for Sale,2017,Petrol,660 cc,Automatic,Lahore,PKR 17.5 lacs
190,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
191,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
192,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
193,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
194,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
195,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
196,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
197,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
198,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
199,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
200,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
201,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
202,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
203,Honda City  2012 1.3 i-VTEC for Sale,2012,Petrol,1300 cc,Manual,Islamabad,PKR 20.3 lacs
204,Suzuki Alto  2008 VXR (CNG) for Sale,2008,Petrol,1000 cc,Manual,Lahore,PKR 8.5 lacs
205,Toyota Vitz  1999 F 1.0 for Sale,1999,Petrol,1000 cc,Automatic,Peshawar,PKR 11.9 lacs
206,KIA Stonic  2022 EX+ for Sale,2022,Petrol,1400 cc,Automatic,Faisalabad,PKR 46.3 lacs
207,Honda Civic  2022 Oriel Prosmatec UG for Sale,2022,Petrol,1800 cc,Automatic,Faisalabad,PKR 52 lacs
208,Suzuki Wagon R  2017 FX Limited for Sale,2017,Petrol,660 cc,Automatic,Lahore,PKR 17.5 lacs
209,Daihatsu Charade  1986 CX Turbo for Sale,1986,Petrol,1000 cc,Manual,Peshawar,PKR 4.2 lacs
210,Audi e-tron  2021  for Sale,2021,Electric,95.0 kWh,Automatic,Lahore,PKR 2.65 crore
211,Lexus RX Series  2017 450H for Sale,2017,Petrol,3500 cc,Automatic,Lahore,PKR 2.32 crore
212,Mercedes Benz C Class  2008 C200 for Sale,2008,Petrol,1800 cc,Automatic,Lahore,PKR 45.5 lacs
213,Honda Vezel  2017 Hybrid RS Honda Sensing  for...,2017,Petrol,1500 cc,Automatic,Lahore,PKR 52.5 lacs
214,Toyota Vitz  2002 FL 1.0 for Sale,2002,Petrol,1000 cc,Automatic,Lahore,PKR 15.95 lacs
215,Suzuki Cultus  2016 EURO II for Sale,2016,Petrol,1000 cc,Manual,Lahore,PKR 12.9 lacs
216,Mercedes Benz E Class  2018 E200 Exclusive for...,2018,Petrol,2000 cc,Automatic,Lahore,PKR 2 crore
217,Mercedes Benz E Class Estate  2010 E 350 4MATI...,2010,Petrol,3799 cc,Automatic,Lahore,PKR 72 lacs
218,Mercedes Benz S Class  2004  for Sale,2004,Petrol,3500 cc,Automatic,Lahore,PKR 50 lacs
219,Changan Alsvin  2022 1.5L DCT Lumiere for Sale,2022,Petrol,1500 cc,Automatic,Khanewal,PKR 31 lacs
220,Honda Civic  2022  for Sale,2022,Petrol,1500 cc,Automatic,Islamabad,PKR 60.25 lacs
221,Honda BR-V  2018 i-VTEC S for Sale,2018,Petrol,1500 cc,Automatic,Karachi,PKR 33.49 lacs
222,Suzuki Wagon R  2011 Limited for Sale,2011,Petrol,660 cc,Automatic,Islamabad,PKR 13.4 lacs
223,Honda City  2012 1.3 i-VTEC for Sale,2012,Petrol,1300 cc,Manual,Islamabad,PKR 20.3 lacs
224,Suzuki Alto  2008 VXR (CNG) for Sale,2008,Petrol,1000 cc,Manual,Lahore,PKR 8.5 lacs
225,Toyota Vitz  1999 F 1.0 for Sale,1999,Petrol,1000 cc,Automatic,Peshawar,PKR 11.9 lacs
226,KIA Stonic  2022 EX+ for Sale,2022,Petrol,1400 cc,Automatic,Faisalabad,PKR 46.3 lacs
227,Honda Civic  2022 Oriel Prosmatec UG for Sale,2022,Petrol,1800 cc,Automatic,Faisalabad,PKR 52 lacs
228,Suzuki Wagon R  2017 FX Limited for Sale,2017,Petrol,660 cc,Automatic,Lahore,PKR 17.5 lacs
229,Daihatsu Charade  1986 CX Turbo for Sale,1986,Petrol,1000 cc,Manual,Peshawar,PKR 4.2 lacs
230,Honda Civic  2018  for Sale,2018,Petrol,1800 cc,Automatic,Islamabad,PKR 36.9 lacs
