11 148 254  #SUP: 6281
6 135 148  #SUP: 6850
3 11 446  #SUP: 6654
6 11 135 218  #SUP: 6808
1 6 11 69  #SUP: 6709
1 6 25  #SUP: 6704
56 218  #SUP: 6627
11 135 148  #SUP: 6549
6 11 540  #SUP: 6608
11 1644  #SUP: 7123
11 321  #SUP: 7212
3 7 148  #SUP: 6505
83 85 86  #SUP: 6376
11 218 255  #SUP: 7111
11 230  #SUP: 6997
7 85  #SUP: 8472
6 7 11 27 83  #SUP: 8956
522  #SUP: 6773
27 64  #SUP: 6918
6 7 11 28 32  #SUP: 7153
6 584  #SUP: 6784
6 7 11 32  #SUP: 7745
1025  #SUP: 6839
6 218 254  #SUP: 7027
1 215  #SUP: 6926
1 3 6 11 27  #SUP: 6624
6 136 218  #SUP: 6813
3 6 7 218  #SUP: 7228
6 40 148  #SUP: 7423
1 512  #SUP: 6649
6 83 148  #SUP: 7232
6 11 138 218  #SUP: 7291
135 148  #SUP: 6880
1 7 11 148  #SUP: 6750
148 512  #SUP: 6666
11 148 218 303  #SUP: 7155
3 6 11 215  #SUP: 6880
6 633  #SUP: 6781
7 27 321  #SUP: 6530
6 11 148 218 255  #SUP: 6993
3 6 11 136  #SUP: 7494
1 27 218  #SUP: 6463
83 85  #SUP: 6853
64 77  #SUP: 6386
11 540  #SUP: 6629
11 83 148  #SUP: 6633
71  #SUP: 6643
6 218 364  #SUP: 6675
6 11 218 512  #SUP: 6420
11 138 148  #SUP: 6857
1 2 11  #SUP: 7044
1 6 215  #SUP: 6476
11 148 218 255  #SUP: 7004
148 218 512  #SUP: 6448
3 6 269  #SUP: 6623
3 6 11 40  #SUP: 7782
1 6 11 40  #SUP: 7641
7 27 28 32  #SUP: 7121
6 777  #SUP: 7278
3 6 11 316  #SUP: 7575
1 6 56  #SUP: 7628
7 86  #SUP: 7719
6 7 83 85  #SUP: 6796
1 3 11 27  #SUP: 6703
1 25  #SUP: 6836
1 6 11 316  #SUP: 7006
3 11 215  #SUP: 6993
1 6 512  #SUP: 6538
633  #SUP: 7277
1 6 11 56  #SUP: 6987
6 7 27 148  #SUP: 8259
6 7 11 28  #SUP: 7211
3 7 87  #SUP: 7293
6 11 85  #SUP: 6705
1 446  #SUP: 8119
1 6 11 438  #SUP: 7615
148 218 303  #SUP: 7841
138 148 218  #SUP: 7171
1 2 6 11  #SUP: 6874
6 1644  #SUP: 8168
218 504  #SUP: 6687
6 11 762  #SUP: 6887
148 254  #SUP: 6811
6 7 27 148 218  #SUP: 7551
540  #SUP: 7710
491  #SUP: 7154
6 7 138  #SUP: 7060
6 218 504  #SUP: 6529
1132  #SUP: 7113
40 148 218  #SUP: 6848
3 11 40  #SUP: 7866
6 89  #SUP: 6968
2952  #SUP: 6933
83 148 218  #SUP: 6621
6 138 148 218  #SUP: 6995
1 6 7 148 218  #SUP: 6748
3 6 56  #SUP: 6584
3 6 11 438  #SUP: 7209
218 273  #SUP: 7506
6 27 28  #SUP: 7061
6 7 11 77  #SUP: 7372
1 11 56  #SUP: 7001
6 11 148 218 303  #SUP: 7140
1 6 987  #SUP: 7298
521  #SUP: 7826
148 155  #SUP: 6443
6 7 27 28 32  #SUP: 6707
6 11 83 218  #SUP: 7108
7 83 86  #SUP: 6454
6 260  #SUP: 7069
11 138 218  #SUP: 7318
1 3 6 7 11  #SUP: 8002
11 490  #SUP: 8160
290  #SUP: 7876
3 56  #SUP: 6833
55 218  #SUP: 6659
142  #SUP: 7322
6 27 32  #SUP: 7563
7 148 218  #SUP: 13366
11 90 218  #SUP: 9341
11 27 897  #SUP: 8055
6 142  #SUP: 6957
11 218 987  #SUP: 8690
148 255  #SUP: 7748
3 11 136  #SUP: 7611
3 69  #SUP: 9968
3 73  #SUP: 8689
6 11 259  #SUP: 7050
6 11 27 148  #SUP: 10779
1 6 273  #SUP: 7268
7 11 278  #SUP: 8532
6 11 90 148 218  #SUP: 8672
1 11 69  #SUP: 6750
6 83 85  #SUP: 6829
11 148 218 987  #SUP: 8149
6 27 64  #SUP: 6631
3 11 438  #SUP: 7230
27 897  #SUP: 10270
3 7 218  #SUP: 7445
1 4 6  #SUP: 9805
40 148  #SUP: 7548
3 6 278  #SUP: 7138
11 762  #SUP: 6927
644  #SUP: 8673
4 7  #SUP: 6693
6 25 218  #SUP: 8303
11 28  #SUP: 7756
6 73  #SUP: 11502
6 136 662  #SUP: 7043
218 364  #SUP: 6715
6 11 40 218  #SUP: 6909
6 40 148 218  #SUP: 6748
6 11 77 148 218  #SUP: 8459
3 6 7 83  #SUP: 7020
265  #SUP: 7054
6 7 27 28  #SUP: 6761
3 6 11 135  #SUP: 6792
11 25 148  #SUP: 7291
7 11 28  #SUP: 7266
259  #SUP: 8150
6 83 218  #SUP: 8078
11 506  #SUP: 6529
747  #SUP: 9368
1 7 218  #SUP: 7930
11 73  #SUP: 7255
6 11 27 49  #SUP: 8526
136 662  #SUP: 7442
506  #SUP: 7178
6 7 11 205  #SUP: 11110
7 27 218  #SUP: 9182
90 148 218  #SUP: 9187
6 11 737  #SUP: 12413
3 90  #SUP: 9382
7 28  #SUP: 9190
357  #SUP: 7212
3 987  #SUP: 7744
11 379  #SUP: 8446
11 229  #SUP: 8492
27 49  #SUP: 9695
6 506  #SUP: 7022
1 11 40  #SUP: 7679
6 670  #SUP: 8142
1 3 7 11  #SUP: 8087
6 148 255  #SUP: 7640
148 218 255  #SUP: 7739
6 11 379  #SUP: 8415
7 897  #SUP: 12748
6 11 25 218  #SUP: 7488
218 987  #SUP: 10623
6 11 255  #SUP: 7219
2 6 7  #SUP: 7244
7 27 28  #SUP: 7176
1 316  #SUP: 8927
1 273  #SUP: 7590
1 11 83  #SUP: 8810
6 11 27 205  #SUP: 11323
11 667  #SUP: 8421
11 747  #SUP: 7992
145  #SUP: 7672
1 6 11 83  #SUP: 8782
6 7 27 32  #SUP: 7235
1 7 148  #SUP: 7332
6 7 85 86  #SUP: 7358
89  #SUP: 7204
11 423  #SUP: 9661
11 670  #SUP: 6780
7 11 27 148 218  #SUP: 7026
6 7 11 64  #SUP: 7060
7 83 85  #SUP: 6819
6 25 148  #SUP: 7795
3 6 87  #SUP: 7465
6 85  #SUP: 8509
6 494  #SUP: 6973
11 135 218  #SUP: 6814
6 7 11 27 218  #SUP: 8159
7 11 85  #SUP: 6604
6 11 27 87  #SUP: 10530
6 11 46  #SUP: 7387
3 6 11 55  #SUP: 10195
6 361  #SUP: 9651
6 21  #SUP: 8379
777  #SUP: 7556
6 69 218  #SUP: 6771
584  #SUP: 7598
7 11 32  #SUP: 7810
6 7 87  #SUP: 15435
27 77  #SUP: 6816
6 7 11 27 87  #SUP: 10027
7 11 77  #SUP: 7386
3 6 303  #SUP: 8189
69 218  #SUP: 6883
3 87  #SUP: 8192
6 1132  #SUP: 6909
7 11 27 218  #SUP: 8172
6 11 25 148  #SUP: 7283
1 205  #SUP: 6692
6 281  #SUP: 7411
27 148 218  #SUP: 10817
1 7 11 218  #SUP: 7063
218 512  #SUP: 7050
3 316  #SUP: 12342
11 28 32  #SUP: 7529
1 6 7 11 218  #SUP: 7055
6 7 27 897  #SUP: 9165
3 135  #SUP: 7969
6 644  #SUP: 7781
6 27 321  #SUP: 6679
6 11 83 148  #SUP: 6628
6 11 21  #SUP: 7404
6 303  #SUP: 18936
1 136  #SUP: 9398
6 11 148 303  #SUP: 7711
6 28 32  #SUP: 8955
6 667  #SUP: 9879
1 11 438  #SUP: 7620
6 11 27 897  #SUP: 7989
255  #SUP: 8364
6 11 148 218 987  #SUP: 8124
6 27 897  #SUP: 9644
6 11 64 148 218  #SUP: 8737
138 148  #SUP: 7984
11 90 148 218  #SUP: 8684
91  #SUP: 12248
6 934  #SUP: 6870
7 11 27 897  #SUP: 7674
6 2952  #SUP: 6715
6 11 148 987  #SUP: 11368
11 259  #SUP: 7075
6 218 512  #SUP: 6980
6 11 14  #SUP: 8201
6 7 11 897  #SUP: 9853
6 290  #SUP: 7267
3 6 69  #SUP: 9040
136 218  #SUP: 6987
148 273  #SUP: 6727
3 11 138  #SUP: 9649
6 218 273  #SUP: 7357
3 6 136  #SUP: 9413
11 364  #SUP: 10372
11 25  #SUP: 10756
6 269  #SUP: 15038
85 86  #SUP: 7529
27 28 32  #SUP: 7435
6 762  #SUP: 7746
1 6 11 303  #SUP: 7423
6 11 28 32  #SUP: 7471
492  #SUP: 6843
218 303  #SUP: 9085
7 27 148  #SUP: 8346
6 11 27 148 218  #SUP: 9911
7 27 32  #SUP: 7692
7 11 27 83  #SUP: 8965
1 3 7  #SUP: 10548
11 25 218  #SUP: 7499
6 138 148  #SUP: 7743
7 27 205  #SUP: 11266
11 40 218  #SUP: 6927
6 11 254  #SUP: 8729
1 303  #SUP: 8860
6 230  #SUP: 7840
7 85 86  #SUP: 7493
1 438  #SUP: 8306
7 32  #SUP: 9894
27 205  #SUP: 14511
6 7 11 278  #SUP: 8461
25 148 218  #SUP: 7730
6 11 28  #SUP: 7680
1 6 136  #SUP: 8904
1 6 11 135  #SUP: 7848
3 11 90  #SUP: 8119
6 540  #SUP: 7401
2 218  #SUP: 7131
11 77 148 218  #SUP: 8477
6 259  #SUP: 7870
135 218  #SUP: 7439
11 46  #SUP: 7436
11 21  #SUP: 7440
155 218  #SUP: 6856
7 11 28 32  #SUP: 7208
6 218 255  #SUP: 7949
6 7 11 27 205  #SUP: 8932
7 11 64  #SUP: 7097
3 6 987  #SUP: 7177
670  #SUP: 8938
1 6 316  #SUP: 8134
6 11 218 255  #SUP: 7100
6 135 218  #SUP: 7403
6 7 86  #SUP: 7557
218 254  #SUP: 7123
27 321  #SUP: 7143
6 11 321  #SUP: 7140
1 6 7 11 148  #SUP: 6743
1 56  #SUP: 7766
3 269  #SUP: 8104
11 148 303  #SUP: 7729
3 6 438  #SUP: 7991
11 64 148 218  #SUP: 8754
25 218  #SUP: 8390
260  #SUP: 7282
11 218 303  #SUP: 7848
246  #SUP: 8642
278  #SUP: 20114
11 148 255  #SUP: 7011
6 11 32  #SUP: 8273
27 278  #SUP: 10850
6 46  #SUP: 8389
11 916  #SUP: 7521
6 40 218  #SUP: 8136
83 218  #SUP: 8216
1 6 446  #SUP: 7444
1 269  #SUP: 6971
3 11 69  #SUP: 7552
6 11 25 148 218  #SUP: 7155
6 148 303  #SUP: 8354
3 737  #SUP: 7716
281  #SUP: 7673
6 77 148 218  #SUP: 9209
11 314  #SUP: 10991
3 215  #SUP: 9613
25 148  #SUP: 7869
6 148 218 255  #SUP: 7632
1 3 6 11  #SUP: 37743
11 446  #SUP: 14981
3 11  #SUP: 161286
6 438  #SUP: 18380
6 11 155  #SUP: 9850
273  #SUP: 17177
6 11 90 218  #SUP: 9329
6 218 303  #SUP: 8895
1 7 148 218  #SUP: 6801
269  #SUP: 18343
1 6 11 148 218  #SUP: 22444
90  #SUP: 22062
7 64  #SUP: 8498
6 897  #SUP: 13068
6 148  #SUP: 64750
7 87  #SUP: 16499
6 77 218  #SUP: 11179
1 6 7 11  #SUP: 18035
85  #SUP: 8801
6 11 27 278  #SUP: 8499
6 378  #SUP: 10722
6 357  #SUP: 6971
6 138  #SUP: 28750
6 27 87  #SUP: 12653
490  #SUP: 23225
6 11 269  #SUP: 11558
1 6 303  #SUP: 8462
28 32  #SUP: 9569
6 314  #SUP: 13281
3 11 64  #SUP: 13518
64 148  #SUP: 10683
28  #SUP: 10111
6 662  #SUP: 7750
1 6 148  #SUP: 27020
6 11 512  #SUP: 11049
1 11 148 218  #SUP: 22502
6 85 86  #SUP: 7390
1 7 11 27  #SUP: 10384
7 27 897  #SUP: 9740
1 6  #SUP: 132113
1 6 11 27  #SUP: 14906
6 11 87  #SUP: 13696
6 11 521  #SUP: 6779
364  #SUP: 12167
27 28  #SUP: 7513
7 27 87  #SUP: 12775
7 11 205  #SUP: 11199
86  #SUP: 8823
3 136  #SUP: 10493
11 316  #SUP: 17837
6 11 273  #SUP: 12363
3 7 11 27  #SUP: 13689
3 6 64  #SUP: 17455
6 7 11 148  #SUP: 13216
6 747  #SUP: 8992
11 361  #SUP: 8687
1 6 83  #SUP: 10293
6 11 64  #SUP: 29865
6 7 27 278  #SUP: 8078
6 987  #SUP: 16430
1 3 11 218  #SUP: 11176
3  #SUP: 450031
1 11 27  #SUP: 15077
934  #SUP: 7621
6 11 56  #SUP: 13418
6 27 49  #SUP: 9466
3 11 205  #SUP: 6964
6 77 148  #SUP: 10178
90 148  #SUP: 9616
27 218  #SUP: 13436
3 6 294  #SUP: 9187
3 6 446  #SUP: 8538
11 218  #SUP: 61656
6 49  #SUP: 12209
1 3 6 27  #SUP: 7920
6 28  #SUP: 9314
11 83 218  #SUP: 7116
6 7 27 83  #SUP: 10865
3 6 11 69  #SUP: 7456
1 90  #SUP: 11087
1 40  #SUP: 9268
737  #SUP: 17645
6 11 148  #SUP: 55230
1 7 27  #SUP: 12352
6 11 314  #SUP: 10844
11 64 218  #SUP: 10008
6 7 11 27 897  #SUP: 7613
1 11 138  #SUP: 9128
6 27 148  #SUP: 11727
11 155  #SUP: 9893
83 148  #SUP: 7302
993  #SUP: 9231
11 40  #SUP: 18029
1 11 218  #SUP: 25790
1 148 218  #SUP: 25267
6 916  #SUP: 8530
3 446  #SUP: 10305
7 148  #SUP: 14851
6 7 897  #SUP: 11942
32  #SUP: 11069
1 3 6 11 218  #SUP: 11091
6 7 205  #SUP: 13372
11 148 987  #SUP: 11404
3 6  #SUP: 265180
3 11 27  #SUP: 20629
3 6 218  #SUP: 33978
3 11 218  #SUP: 26973
3 6 11 27  #SUP: 20086
7 27 83  #SUP: 10960
27 87  #SUP: 13491
1 987  #SUP: 7568
3 6 11 83  #SUP: 10487
11 512  #SUP: 11095
7 77  #SUP: 8532
6 11 303  #SUP: 15559
6 40  #SUP: 22264
11 77 218  #SUP: 9740
64 148 218  #SUP: 9744
64  #SUP: 48262
6 7 27 87  #SUP: 12028
3 6 7 11 27  #SUP: 13574
7 11 148  #SUP: 13244
1 6 27  #SUP: 17828
1 6 11 218  #SUP: 25608
6 218 987  #SUP: 10349
6 135  #SUP: 17689
6 11 215  #SUP: 15309
1 11 135  #SUP: 7862
3 278  #SUP: 8907
6 7 32  #SUP: 9264
6 11 504  #SUP: 9918
6 32  #SUP: 10100
7 11 83  #SUP: 12983
3 6 11 218  #SUP: 26501
512  #SUP: 12921
11 504  #SUP: 10109
6 11 218 987  #SUP: 8660
6 27 148 218  #SUP: 10684
6 7 64  #SUP: 8158
6 7 28  #SUP: 8622
897  #SUP: 14297
7 27  #SUP: 40235
1 6 40  #SUP: 8912
1 3 11 148  #SUP: 10544
314  #SUP: 14842
148 987  #SUP: 13316
6 90 148  #SUP: 9522
64 218  #SUP: 11921
1 55  #SUP: 12963
6 11 229  #SUP: 8450
3 6 77  #SUP: 16731
4  #SUP: 78097
1 6 11 90  #SUP: 10027
136  #SUP: 23679
6 7 11  #SUP: 55835
6 11 897  #SUP: 10626
1 218  #SUP: 32127
6 7 27 218  #SUP: 9048
11 87  #SUP: 13836
3 6 205  #SUP: 8575
6 379  #SUP: 9413
1 6 148 218  #SUP: 24709
56  #SUP: 15752
6 7  #SUP: 73610
6 148 218 303  #SUP: 7718
69  #SUP: 22631
3 6 11 64  #SUP: 13146
3 64  #SUP: 21175
6 273  #SUP: 15270
6 56  #SUP: 15151
640  #SUP: 9163
3 7 27  #SUP: 17830
3 6 40  #SUP: 9721
6 11 138  #SUP: 21008
321  #SUP: 9559
77 148  #SUP: 10354
6 11 27  #SUP: 44923
7 11 27 205  #SUP: 9001
1 64  #SUP: 15390
1644  #SUP: 8606
6 11 25  #SUP: 10712
6 512  #SUP: 12413
11 27 148  #SUP: 10802
1 6 135  #SUP: 8548
3 6 7 11  #SUP: 24971
1 6 7 148  #SUP: 7263
1 148  #SUP: 28049
6 11 294  #SUP: 10228
1 11  #SUP: 91882
6 11 148 255  #SUP: 7000
762  #SUP: 8071
6 11 77  #SUP: 29830
6 27 83  #SUP: 12712
303  #SUP: 21246
6 11 218  #SUP: 60630
6 11 90 148  #SUP: 9066
6 11 278  #SUP: 12249
361  #SUP: 10122
1 6 11 148  #SUP: 24242
6 7 148 218  #SUP: 13204
6 490  #SUP: 13512
6 90 218  #SUP: 10093
6 7 11 27 148  #SUP: 7632
27  #SUP: 72134
11 987  #SUP: 13191
1 6 7 218  #SUP: 7826
3 303  #SUP: 9193
148 218 987  #SUP: 9388
1 3  #SUP: 84660
1 6 438  #SUP: 8226
11 215  #SUP: 15548
3 6 148  #SUP: 28097
1 138  #SUP: 12450
1 6 218  #SUP: 30182
6 7 148  #SUP: 14585
3 6 11 148  #SUP: 23969
6 7 11 218  #SUP: 14267
11 148 218  #SUP: 50098
6 11 987  #SUP: 13061
6 423  #SUP: 10651
1 3 6 148 218  #SUP: 10638
11 32  #SUP: 8363
11 255  #SUP: 7238
90 218  #SUP: 10198
6 90  #SUP: 21288
11  #SUP: 364065
7 278  #SUP: 10785
87  #SUP: 18484
6 218  #SUP: 77675
3 11 148  #SUP: 24207
6 514  #SUP: 6976
7 11 87  #SUP: 12800
11 77  #SUP: 30409
55  #SUP: 65412
1 3 148 218  #SUP: 10885
218  #SUP: 88598
6 64 148 218  #SUP: 9597
7 28 32  #SUP: 9102
7 11 27 148  #SUP: 7643
1  #SUP: 197522
1 6 11 64  #SUP: 11640
7 11 27 87  #SUP: 10099
6 11 667  #SUP: 8354
138  #SUP: 35127
148 303  #SUP: 8498
3 6 316  #SUP: 9956
6 11 27 83  #SUP: 10546
6 254  #SUP: 9744
6 90 148 218  #SUP: 9099
1 3 6 11 148 218  #SUP: 9657
2  #SUP: 42927
6 7 11 83  #SUP: 12961
6 11 49  #SUP: 10857
11 27 218  #SUP: 11606
11 25 148 218  #SUP: 7163
1 2 6  #SUP: 8769
6 11 135  #SUP: 15747
1 11 77  #SUP: 11434
3 83  #SUP: 14138
4 11  #SUP: 27433
11 49  #SUP: 10899
11 269  #SUP: 11847
11 64 148  #SUP: 9482
3 6 11 138  #SUP: 9373
3 138  #SUP: 15546
6 14  #SUP: 10349
1 3 148  #SUP: 12165
6 148 987  #SUP: 12993
2 3 6 11  #SUP: 8934
6 737  #SUP: 15501
4 6  #SUP: 45377
987  #SUP: 17804
6 148 273  #SUP: 6628
11 205  #SUP: 15855
27 32  #SUP: 8068
6 640  #SUP: 8053
11 148  #SUP: 55759
3 4 6  #SUP: 21112
3 205  #SUP: 9415
3 40  #SUP: 10512
6 25  #SUP: 12218
3 11 77  #SUP: 13482
83  #SUP: 32212
6 7 278  #SUP: 10026
7 83  #SUP: 16171
11 55  #SUP: 24334
3 6 11 148 218  #SUP: 21528
77 218  #SUP: 11457
6 7 11 148 218  #SUP: 12057
6 7 83  #SUP: 15964
6 27  #SUP: 59418
3 6 215  #SUP: 8384
294  #SUP: 32247
6 27 218  #SUP: 13033
3 6 138  #SUP: 12809
3 490  #SUP: 10496
1 2  #SUP: 10708
49  #SUP: 12702
1 7  #SUP: 23817
6 7 28 32  #SUP: 8541
6 64 218  #SUP: 11586
3 6 11 77  #SUP: 13198
11 83  #SUP: 24077
1 3 6 218  #SUP: 13060
218 255  #SUP: 8073
1 69  #SUP: 8021
3 294  #SUP: 15246
1 6 11 136  #SUP: 7700
11 77 148  #SUP: 9319
4 6 11  #SUP: 24408
3 6 83  #SUP: 13167
6 278  #SUP: 16050
6 148 218 987  #SUP: 9173
3 148  #SUP: 30330
6 86  #SUP: 8208
6 11 316  #SUP: 17311
3 6 148 218  #SUP: 24526
11 378  #SUP: 8520
6 11 205  #SUP: 15673
6 27 278  #SUP: 10076
3 55  #SUP: 29663
6 11 423  #SUP: 9633
6 11 77 218  #SUP: 9707
7 11 148 218  #SUP: 12071
6 11 747  #SUP: 7948
1 83  #SUP: 10659
11 27 87  #SUP: 10610
155  #SUP: 11494
14  #SUP: 11607
1 6 11 77  #SUP: 11340
7 11 27  #SUP: 30839
6 321  #SUP: 8665
1 4  #SUP: 14645
11 294  #SUP: 11412
148 218  #SUP: 58823
11 278  #SUP: 12631
2 6  #SUP: 29619
3 7  #SUP: 38659
2 11  #SUP: 20826
3 77  #SUP: 19283
3 6 27  #SUP: 26522
1 3 6  #SUP: 57802
7 27 148 218  #SUP: 7611
11 27  #SUP: 46103
6 11 83  #SUP: 23881
21  #SUP: 8763
6 294  #SUP: 18949
3 11 316  #SUP: 7817
6 64 148  #SUP: 10455
3 6 7  #SUP: 32895
6 11 364  #SUP: 10330
11 27 278  #SUP: 8564
1 3 11 148 218  #SUP: 9686
3 4 6 11  #SUP: 11494
254  #SUP: 10077
6 11 378  #SUP: 8438
7 205  #SUP: 14246
1 6 138  #SUP: 11193
7 27 278  #SUP: 8604
6 7 27 205  #SUP: 10630
6 11 55  #SUP: 21940
11 56  #SUP: 13483
3 6 11  #SUP: 143682
1 3 218  #SUP: 13928
6 11 90  #SUP: 18979
6 7 321  #SUP: 7560
504  #SUP: 14546
25  #SUP: 12668
1 6 64  #SUP: 14001
11 27 205  #SUP: 11405
6 7 85  #SUP: 8286
6 316  #SUP: 22466
3 11 55  #SUP: 11323
1 11 148  #SUP: 24345
378  #SUP: 11508
7  #SUP: 86898
27 148  #SUP: 11964
11 737  #SUP: 12606
6 504  #SUP: 12555
7 11 218  #SUP: 14307
11 14  #SUP: 8321
6 11  #SUP: 324013
2 3 6  #SUP: 13515
1 7 11  #SUP: 18220
148  #SUP: 69922
11 136  #SUP: 17215
3 27  #SUP: 32027
1 135  #SUP: 8660
11 273  #SUP: 12555
3 4 11  #SUP: 12872
1 6 7  #SUP: 21733
6 11 361  #SUP: 8645
6 69  #SUP: 20439
77  #SUP: 43454
667  #SUP: 10616
6 77  #SUP: 37654
1 6 55  #SUP: 9088
6 136  #SUP: 21189
7 11 897  #SUP: 9934
7 321  #SUP: 8069
1 3 27  #SUP: 8773
316  #SUP: 27852
6 11 64 148  #SUP: 9455
6 148 218  #SUP: 56838
11 27 148 218  #SUP: 9925
3 6 55  #SUP: 17975
6 11 916  #SUP: 7482
3 6 11 90  #SUP: 8079
215  #SUP: 21592
1 6 11  #SUP: 86092
3 438  #SUP: 8228
379  #SUP: 9783
3 6 7 27  #SUP: 16581
2 6 11  #SUP: 19624
11 303  #SUP: 15788
2 7  #SUP: 7840
1 6 7 27  #SUP: 11895
6 27 205  #SUP: 13663
1 6 90  #SUP: 10923
229  #SUP: 10034
916  #SUP: 8989
3 7 83  #SUP: 7113
6 11 218 303  #SUP: 7827
6 521  #SUP: 7556
6 229  #SUP: 9677
2 3  #SUP: 19438
11 64  #SUP: 30677
11 438  #SUP: 16620
6 215  #SUP: 18842
11 69  #SUP: 17035
1 11 90  #SUP: 10047
1 3 6 148  #SUP: 11705
6 11 69  #SUP: 16824
662  #SUP: 8448
1 11 303  #SUP: 7461
1 6 7 11 27  #SUP: 10347
1 11 64  #SUP: 11795
6 11 490  #SUP: 7261
6 7 27  #SUP: 37397
6 7 11 27  #SUP: 30567
27 83  #SUP: 12872
230  #SUP: 8123
11 138  #SUP: 21566
423  #SUP: 10967
135  #SUP: 18313
6 7 11 87  #SUP: 12704
6 64  #SUP: 39697
2 3 11  #SUP: 9487
11 90 148  #SUP: 9078
6 446  #SUP: 19240
7 218  #SUP: 16864
6 11 438  #SUP: 16564
6 11 148 218  #SUP: 49866
7 11  #SUP: 57074
1 3 6 11 148  #SUP: 10493
11 27 83  #SUP: 10559
6 205  #SUP: 19482
3 4  #SUP: 35438
6 11 27 218  #SUP: 11562
3 218  #SUP: 38673
3 7 11  #SUP: 25533
205  #SUP: 21373
6 11 64 218  #SUP: 9973
3 11 83  #SUP: 10578
40  #SUP: 24082
11 27 49  #SUP: 8547
